2016-05-20 | 09:34:19pm | 81.57.151.35 | Cleared facebook.
2016-05-20 | 09:34:22pm | 81.57.151.35 | Cleared viescolaire.
2016-05-20 | 09:34:23pm | 81.57.151.35 | Cleared facebook.
2016-05-20 | 09:57:20pm | 192.168.1.16 | Changed url facebook to: https://www.facebook.com/photo.php?fbid=192170037841293&set=a.192170061174624.1073741826.100011448946175&type=3&theater
2016-05-20 | 09:57:20pm | 192.168.1.16 | Changed url twitter to: http://www.twitter.com
2016-05-20 | 09:57:20pm | 192.168.1.16 | Changed url viescolaire to: http://www.viescolaire.net
--------------------------Now in 1.6--------------------------
2016-05-20 | 10:25:49pm | 192.168.1.16 | Cleared facebook.
2016-05-21 | 07:48:25pm | 81.57.151.35 | Cleared facebook.
2016-05-21 | 07:48:29pm | 81.57.151.35 | Changed url facebook to:
2016-05-21 | 07:48:29pm | 81.57.151.35 | Changed url twitter to:
2016-05-21 | 07:48:29pm | 81.57.151.35 | Changed url viescolaire to:
2016-05-21 | 07:49:53pm | 81.57.151.35 | Cleared facebook.
2016-05-21 | 08:12:17pm | 81.57.151.35 | Cleared viescolaire.
2016-05-21 | 08:12:25pm | 81.57.151.35 | Cleared facebook.
2016-05-21 | 08:19:54pm | 81.57.151.35 | Cleared facebook.
2016-05-21 | 08:25:25pm | 81.57.151.35 | Cleared viescolaire.
2016-05-21 | 08:25:27pm | 81.57.151.35 | Cleared facebook.
2016-05-21 | 08:25:28pm | 81.57.151.35 | Cleared facebook.
2016-05-21 | 08:25:29pm | 81.57.151.35 | Changed url facebook to:
2016-05-21 | 08:25:29pm | 81.57.151.35 | Changed url twitter to:
2016-05-21 | 08:25:29pm | 81.57.151.35 | Changed url viescolaire to:
2016-05-21 | 08:25:30pm | 81.57.151.35 | Changed url facebook to:
2016-05-21 | 08:25:30pm | 81.57.151.35 | Changed url twitter to:
2016-05-21 | 08:25:30pm | 81.57.151.35 | Changed url viescolaire to:
2016-05-21 | 08:32:11pm | 81.57.151.35 | Cleared viescolaire.
2016-05-21 | 08:32:12pm | 81.57.151.35 | Cleared facebook.
2016-05-21 | 08:32:13pm | 81.57.151.35 | Cleared facebook.
2016-05-21 | 08:32:14pm | 81.57.151.35 | Cleared facebook.
2016-05-21 | 08:42:44pm | 81.57.151.35 | Cleared viescolaire.
2016-05-21 | 08:42:45pm | 81.57.151.35 | Cleared facebook.
2016-05-21 | 08:42:46pm | 81.57.151.35 | Cleared facebook.
2016-05-21 | 08:42:46pm | 81.57.151.35 | Cleared facebook.
2016-05-21 | 08:43:05pm | 192.168.1.16 | Changed url facebook to: https://www.facebook.com/photo.php?fbid=192170037841293&set=a.192170061174624.1073741826.100011448946175&type=3&theater
2016-05-21 | 08:43:05pm | 192.168.1.16 | Changed url twitter to:
2016-05-21 | 08:43:05pm | 192.168.1.16 | Changed url viescolaire to:
2016-05-22 | 11:09:04am | 192.168.1.16 | Cleared viescolaire.
2016-05-22 | 01:29:25pm | 192.168.1.16 | Cleared facebook.
2016-05-25 | 07:53:49pm | 192.168.1.16 | Cleared viescolaire.
2016-05-26 | 08:11:07pm | 192.168.1.16 | Cleared viescolaire.
2016-05-26 | 08:11:08pm | 192.168.1.16 | Cleared viescolaire.
2016-06-03 | 05:11:54pm | 37.165.6.131 | Cleared facebook.
2016-06-04 | 12:30:19am | 192.168.1.15 | Changed url facebook to:
2016-06-04 | 12:30:19am | 192.168.1.15 | Changed url twitter to:
2016-06-04 | 12:30:19am | 192.168.1.15 | Changed url viescolaire to:
2016-06-04 | 12:45:53am | 192.168.1.15 | Cleared facebook.
2016-06-07 | 11:47:36pm | 192.168.1.16 | Cleared facebook.
2016-06-07 | 11:47:38pm | 192.168.1.16 | Cleared facebook.
2016-06-07 | 11:47:47pm | 192.168.1.16 | Cleared facebook.
2016-06-09 | 05:56:46pm | 192.168.1.16 | Cleared viescolaire.
2016-06-15 | 10:47:04am | 138.231.168.97 | Cleared facebook.
2016-07-24 | 04:22:19pm | 86.222.26.189 | Cleared viescolaire.
2016-07-24 | 04:22:21pm | 86.222.26.189 | Cleared facebook.
--------------------------Now in 2.0--------------------------
2016-10-28 | 03:27:00am | 192.168.1.1 | :fish:
